timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
06/01/2000 23:49:30,0,0,0.001330613
06/01/2000 23:49:45,0,0,0.001343736
06/01/2000 23:50:00,0,0,0.001361831
06/01/2000 23:50:15,0,0,0.001328525
06/01/2000 23:50:30,0,0,0.002994472
06/01/2000 23:50:45,2,0,0.00286098
06/01/2000 23:51:00,0,0,0.001395491
06/01/2000 23:51:15,0,0,0.001461271
06/01/2000 23:51:30,0,0,0.002552096
06/01/2000 23:51:45,0,0,0.001866503
06/01/2000 23:52:00,0,0,0.002695917
06/01/2000 23:52:15,0,0,0.004780564
06/01/2000 23:52:30,50,1,0.043261382
06/01/2000 23:52:45,3,0,0.012772603
06/01/2000 23:53:00,0,0,0.001926764
06/01/2000 23:53:15,0,0,0.002235602
06/01/2000 23:53:30,0,0,0.001964098
06/01/2000 23:53:45,15,1,0.013515763
06/01/2000 23:54:00,2,0,0.005004097
06/01/2000 23:54:15,0,0,0.002105698
06/01/2000 23:54:30,0,0,0.002042932
06/01/2000 23:54:45,0,0,0.002342953
06/01/2000 23:55:00,0,0,0.003706226
06/01/2000 23:55:15,0,0,0.002247479
06/01/2000 23:55:30,0,0,0.002089742
06/01/2000 23:55:45,0,0,0.002077688
06/01/2000 23:56:00,0,0,0.002591929
06/01/2000 23:56:15,0,0,0.002008656
06/01/2000 23:56:30,0,0,0.001942762
06/01/2000 23:56:45,0,0,0.001949448
06/01/2000 23:57:00,0,0,0.002238684
06/01/2000 23:57:15,0,0,0.001831761
06/01/2000 23:57:30,0,0,0.001882037
06/01/2000 23:57:45,0,0,0.001764713
06/01/2000 23:58:00,0,0,0.001889024
06/01/2000 23:58:15,0,0,0.001800762
06/01/2000 23:58:30,0,0,0.001675631
06/01/2000 23:58:45,0,0,0.001716841
06/01/2000 23:59:00,0,0,0.001791157
06/01/2000 23:59:15,0,0,0.002022721
06/01/2000 23:59:30,0,0,0.001861484
06/01/2000 23:59:45,0,0,0.001814412
07/01/2000 00:00:00,0,0,0.001749434
07/01/2000 00:00:15,0,0,0.001790127
07/01/2000 00:00:30,0,0,0.001875335
07/01/2000 00:00:45,0,0,0.00222661
07/01/2000 00:01:00,0,0,0.002278641
07/01/2000 00:01:15,0,0,0.001861361
07/01/2000 00:01:30,0,0,0.001693012
07/01/2000 00:01:45,0,0,0.002820856
07/01/2000 00:02:00,0,0,0.003146624
07/01/2000 00:02:15,0,0,0.001864332
07/01/2000 00:02:30,0,0,0.001789859
07/01/2000 00:02:45,0,0,0.001832185
07/01/2000 00:03:00,0,0,0.001775094
07/01/2000 00:03:15,0,0,0.001915401
07/01/2000 00:03:30,0,0,0.002638261
07/01/2000 00:03:45,12,1,0.018329031
07/01/2000 00:04:00,0,0,0.008030371
07/01/2000 00:04:15,20,1,0.025798998
07/01/2000 00:04:30,0,0,0.002709876
07/01/2000 00:04:45,0,0,0.002875645
07/01/2000 00:05:00,0,0,0.002939862
07/01/2000 00:05:15,0,0,0.003621046
07/01/2000 00:05:30,0,0,0.004209034
07/01/2000 00:05:45,0,0,0.003335697
07/01/2000 00:06:00,0,0,0.003332667
07/01/2000 00:06:15,0,0,0.003276393
07/01/2000 00:06:30,0,0,0.003250915
07/01/2000 00:06:45,0,0,0.003341465
07/01/2000 00:07:00,0,0,0.003505626
07/01/2000 00:07:15,0,0,0.003255211
07/01/2000 00:07:30,0,0,0.003375035
07/01/2000 00:07:45,0,0,0.003347026
07/01/2000 00:08:00,0,0,0.00355356
07/01/2000 00:08:15,0,0,0.003378153
07/01/2000 00:08:30,0,0,0.003283736
07/01/2000 00:08:45,0,0,0.003421049
07/01/2000 00:09:00,0,0,0.00330934
07/01/2000 00:09:15,0,0,0.003756077
07/01/2000 00:09:30,0,0,0.003412963
07/01/2000 00:09:45,0,0,0.003470749
07/01/2000 00:10:00,0,0,0.003438447
07/01/2000 00:10:15,0,0,0.003601007
07/01/2000 00:10:30,0,0,0.005226425
07/01/2000 00:10:45,0,0,0.004219641
07/01/2000 00:11:00,0,0,0.004021746
07/01/2000 00:11:15,0,0,0.004024024
07/01/2000 00:11:30,0,0,0.003953911
07/01/2000 00:11:45,0,0,0.004112893
07/01/2000 00:12:00,0,0,0.004023642
07/01/2000 00:12:15,0,0,0.004236804
07/01/2000 00:12:30,0,0,0.004292219
07/01/2000 00:12:45,0,0,0.00442742
07/01/2000 00:13:00,0,0,0.00427066
07/01/2000 00:13:15,0,0,0.004223651
07/01/2000 00:13:30,0,0,0.00417592
07/01/2000 00:13:45,0,0,0.004212409
07/01/2000 00:14:00,0,0,0.004207288
07/01/2000 00:14:15,0,0,0.004596013
07/01/2000 00:14:30,0,0,0.004389867
07/01/2000 00:14:45,0,0,0.004439999
07/01/2000 00:15:00,0,0,0.004489471
07/01/2000 00:15:15,0,0,0.004440905
07/01/2000 00:15:30,0,0,0.004433776
07/01/2000 00:15:45,0,0,0.004433503
07/01/2000 00:16:00,0,0,0.004488268
07/01/2000 00:16:15,0,0,0.004511179
07/01/2000 00:16:30,0,0,0.003941932
07/01/2000 00:16:45,0,0,0.002925165
07/01/2000 00:17:00,0,0,0.002962924
07/01/2000 00:17:15,0,0,0.003067478
07/01/2000 00:17:30,0,0,0.002808079
07/01/2000 00:17:45,0,0,0.002831622
07/01/2000 00:18:00,0,0,0.00294506
07/01/2000 00:18:15,0,0,0.002860235
07/01/2000 00:18:30,0,0,0.003001407
07/01/2000 00:18:45,0,0,0.002934771
07/01/2000 00:19:00,0,0,0.002880484
07/01/2000 00:19:15,0,0,0.003180246
07/01/2000 00:19:30,0,0,0.002882452
07/01/2000 00:19:45,0,0,0.00285044
07/01/2000 00:20:00,0,0,0.002894002
07/01/2000 00:20:15,0,0,0.003090101
07/01/2000 00:20:30,0,0,0.002985553
07/01/2000 00:20:45,0,0,0.002844317
07/01/2000 00:21:00,0,0,0.002847778
07/01/2000 00:21:15,0,0,0.002839744
07/01/2000 00:21:30,0,0,0.002810196
07/01/2000 00:21:45,38,1,0.0263475
07/01/2000 00:22:00,10,1,0.012002438
07/01/2000 00:22:15,0,0,0.005440118
07/01/2000 00:22:30,0,0,0.005785361
07/01/2000 00:22:45,0,0,0.00575152
07/01/2000 00:23:00,0,0,0.005816915
07/01/2000 00:23:15,0,0,0.00574684
07/01/2000 00:23:30,0,0,0.005801671
07/01/2000 00:23:45,0,0,0.005841088
07/01/2000 00:24:00,0,0,0.005585041
07/01/2000 00:24:15,0,0,0.005579619
07/01/2000 00:24:30,0,0,0.005415712
07/01/2000 00:24:45,0,0,0.00441959
07/01/2000 00:25:00,0,0,0.003890639
07/01/2000 00:25:15,0,0,0.003770832
07/01/2000 00:25:30,0,0,0.003752983
07/01/2000 00:25:45,0,0,0.003787609
07/01/2000 00:26:00,0,0,0.003729616
07/01/2000 00:26:15,0,0,0.003746321
07/01/2000 00:26:30,0,0,0.003645656
07/01/2000 00:26:45,0,0,0.003459261
07/01/2000 00:27:00,0,0,0.003550731
07/01/2000 00:27:15,0,0,0.003494252
07/01/2000 00:27:30,0,0,0.00356501
07/01/2000 00:27:45,0,0,0.00369335
07/01/2000 00:28:00,0,0,0.003730976
07/01/2000 00:28:15,0,0,0.003645523
07/01/2000 00:28:30,0,0,0.003510697
07/01/2000 00:28:45,0,0,0.003583448
07/01/2000 00:29:00,0,0,0.003389736
07/01/2000 00:29:15,0,0,0.003440752
07/01/2000 00:29:30,0,0,0.003311644
07/01/2000 00:29:45,0,0,0.003607935
07/01/2000 00:30:00,0,0,0.003478266
07/01/2000 00:30:15,0,0,0.003520446
07/01/2000 00:30:30,0,0,0.003525414
07/01/2000 00:30:45,0,0,0.003524996
07/01/2000 00:31:00,0,0,0.003534922
07/01/2000 00:31:15,0,0,0.003448032
07/01/2000 00:31:30,0,0,0.003403134
07/01/2000 00:31:45,0,0,0.003326984
07/01/2000 00:32:00,0,0,0.003464882
07/01/2000 00:32:15,0,0,0.003433973
07/01/2000 00:32:30,0,0,0.00349089
07/01/2000 00:32:45,0,0,0.003432141
07/01/2000 00:33:00,0,0,0.003215724
07/01/2000 00:33:15,0,0,0.003419929
07/01/2000 00:33:30,0,0,0.003491558
07/01/2000 00:33:45,0,0,0.003522965
07/01/2000 00:34:00,0,0,0.003498528
07/01/2000 00:34:15,0,0,0.003357504
07/01/2000 00:34:30,0,0,0.003283341
07/01/2000 00:34:45,0,0,0.003362648
07/01/2000 00:35:00,0,0,0.003342536
07/01/2000 00:35:15,0,0,0.003090622
07/01/2000 00:35:30,0,0,0.003200453
07/01/2000 00:35:45,0,0,0.003448704
07/01/2000 00:36:00,0,0,0.003232434
07/01/2000 00:36:15,0,0,0.003310671
07/01/2000 00:36:30,0,0,0.003359938
07/01/2000 00:36:45,0,0,0.003348563
07/01/2000 00:37:00,0,0,0.003348475
07/01/2000 00:37:15,0,0,0.003409044
07/01/2000 00:37:30,0,0,0.003470772
07/01/2000 00:37:45,0,0,0.003508405
07/01/2000 00:38:00,0,0,0.003404154
07/01/2000 00:38:15,0,0,0.003193028
07/01/2000 00:38:30,0,0,0.003316335
07/01/2000 00:38:45,0,0,0.003406666
07/01/2000 00:39:00,0,0,0.003232259
07/01/2000 00:39:15,0,0,0.003594005
07/01/2000 00:39:30,0,0,0.003443271
07/01/2000 00:39:45,0,0,0.003516122
07/01/2000 00:40:00,0,0,0.003357434
07/01/2000 00:40:15,0,0,0.003420603
07/01/2000 00:40:30,0,0,0.003256031
07/01/2000 00:40:45,0,0,0.003458685
07/01/2000 00:41:00,0,0,0.003456405
07/01/2000 00:41:15,0,0,0.003515295
